"Date","County","State","Vehicle Primary Use","Battery Electric Vehicles (BEVs)","Plug-In Hybrid Electric Vehicles (PHEVs)","Electric Vehicle (EV) Total","Non-Electric Vehicle Total","Total Vehicles","Percent Electric Vehicles"
"March 31, 2020","Fort Bend","TX","Passenger","1","0","1","50","51","1.96"
"May 31, 2025","Galveston","TX","Passenger","1","0","1","13","14","7.14"
"July 31, 2022","Chelan","WA","Truck","4","0","4","23,016","23,020","0.02"
"October 31, 2019","San Juan","WA","Passenger","236","76","312","14,398","14,710","2.12"
"January 31, 2018","Garfield","WA","Passenger","1","0","1","1,331","1,332","0.08"
"September 30, 2020","Kittitas","WA","Passenger","112","48","160","29,682","29,842","0.54"
"October 31, 2022","Mecklenburg","NC","Passenger","1","0","1","80","81","1.23"
"April 30, 2017","Palm Beach","FL","Passenger","0","2","2","103","105","1.90"
"July 31, 2025","Travis","TX","Passenger","3","1","4","59","63","6.35"
"January 31, 2018","Maui","HI","Passenger","1","0","1","66","67","1.49"
"October 31, 2023","El Paso","CO","Passenger","8","6","14","582","596","2.35"
"June 30, 2020","Kootenai","ID","Passenger","1","1","2","244","246","0.81"
"May 31, 2018","Hamilton","TN","Passenger","1","0","1","26","27","3.70"
"October 31, 2023","Monroe","NY","Passenger","1","0","1","22","23","4.35"
"May 31, 2024","Clark","WA","Truck","187","0","187","80,575","80,762","0.23"
"August 31, 2023","Shasta","CA","Passenger","1","0","1","36","37","2.70"
"March 31, 2023","Lexington","SC","Passenger","2","0","2","24","26","7.69"
"May 31, 2021","DeKalb","GA","Passenger","1","0","1","68","69","1.45"
"March 31, 2021","Cowlitz","WA","Passenger","197","133","330","72,102","72,432","0.46"
"August 31, 2022","Collier","FL","Passenger","1","0","1","18","19","5.26"
"September 30, 2017","Clark","NV","Passenger","2","3","5","836","841","0.59"
"August 31, 2024","Adams","WA","Passenger","39","20","59","13,219","13,278","0.44"
"January 31, 2023","Lincoln","WA","Passenger","14","19","33","7,739","7,772","0.42"
"November 30, 2018","Harnett","NC","Passenger","1","0","1","242","243","0.41"
"March 31, 2022","Portsmouth","VA","Passenger","0","1","1","78","79","1.27"
"July 31, 2022","Pacific","WA","Passenger","64","71","135","15,773","15,908","0.85"
"December 31, 2023","Pueblo","CO","Passenger","1","0","1","21","22","4.55"
"July 31, 2024","Sarpy","NE","Passenger","1","1","2","64","66","3.03"
"January 31, 2023","Wilson","TX","Passenger","0","1","1","3","4","25.00"
"March 31, 2019","Denver","CO","Passenger","1","0","1","149","150","0.67"
"March 31, 2018","Lumpkin","GA","Passenger","1","0","1","7","8","12.50"
"September 30, 2018","Clay","FL","Passenger","0","1","1","95","96","1.04"
"September 30, 2022","Kern","CA","Passenger","2","1","3","221","224","1.34"
"December 31, 2020","District of Columbia","DC","Passenger","2","1","3","189","192","1.56"
"February 28, 2025","Ocean","NJ","Passenger","1","0","1","15","16","6.25"
"November 30, 2022","Fredericksburg","VA","Passenger","1","0","1","4","5","20.00"
"January 31, 2025","Kern","CA","Passenger","2","0","2","162","164","1.22"
"October 31, 2022","Geary","KS","Passenger","1","0","1","88","89","1.12"
"March 31, 2023","Shasta","CA","Passenger","1","0","1","35","36","2.78"
"August 31, 2025","Wahkiakum","WA","Passenger","56","27","83","3,012","3,095","2.68"
"August 31, 2020","Alameda","CA","Passenger","1","0","1","297","298","0.34"
"July 31, 2025","Kootenai","ID","Passenger","2","2","4","99","103","3.88"
"June 30, 2025","Okaloosa","FL","Passenger","3","2","5","69","74","6.76"
"January 31, 2023","Whatcom","WA","Passenger","2,164","817","2,981","148,293","151,274","1.97"
"August 31, 2022","Medina","TX","Passenger","1","0","1","9","10","10.00"
"November 30, 2023","Spotsylvania","VA","Passenger","1","0","1","29","30","3.33"
"January 31, 2023","Orange","NC","Passenger","1","0","1","7","8","12.50"
"August 31, 2018","Chelan","WA","Passenger","113","55","168","53,696","53,864","0.31"
"September 30, 2022","Garfield","WA","Passenger","1","3","4","1,308","1,312","0.30"
"June 30, 2023","Washington","MD","Passenger","1","0","1","14","15","6.67"
"March 31, 2019","Honolulu","HI","Passenger","2","3","5","534","539","0.93"
"January 31, 2019","Kittitas","WA","Truck","0","0","0","14,234","14,234","0.00"
"August 31, 2021","Benton","WA","Truck","0","0","0","43,577","43,577","0.00"
"April 30, 2024","Clark","NV","Passenger","12","4","16","547","563","2.84"
"November 30, 2018","Mason","WA","Passenger","103","107","210","46,389","46,599","0.45"
"December 31, 2022","Washington","MD","Passenger","2","0","2","14","16","12.50"
"April 30, 2021","Albemarle","VA","Passenger","1","0","1","24","25","4.00"
"October 31, 2023","Camden","NJ","Passenger","0","1","1","12","13","7.69"
"March 31, 2020","Skamania","WA","Truck","0","0","0","4,082","4,082","0.00"
"April 30, 2024","El Paso","CO","Passenger","10","7","17","541","558","3.05"
"June 30, 2022","Yellowstone","MT","Passenger","0","1","1","33","34","2.94"
"April 30, 2021","Klickitat","WA","Truck","0","0","0","8,232","8,232","0.00"
"January 31, 2021","Palm Beach","FL","Passenger","1","2","3","85","88","3.41"
"June 30, 2019","Mason","WA","Truck","0","0","0","20,341","20,341","0.00"
"March 31, 2022","Kittitas","WA","Truck","0","0","0","14,712","14,712","0.00"
"December 31, 2023","Lake","IN","Passenger","1","1","2","8","10","20.00"
"February 28, 2021","Sedgwick","KS","Passenger","1","1","2","104","106","1.89"
"October 31, 2022","Klickitat","WA","Truck","3","0","3","8,233","8,236","0.04"
"May 31, 2019","Orange","FL","Passenger","1","0","1","177","178","0.56"
"April 30, 2017","Clark","NV","Passenger","1","3","4","907","911","0.44"
"September 30, 2021","Pacific","WA","Truck","0","0","0","7,988","7,988","0.00"
"May 31, 2022","Spokane","WA","Passenger","1,534","829","2,363","324,258","326,621","0.72"
"February 28, 2019","Tulsa","OK","Passenger","1","0","1","59","60","1.67"
"December 31, 2024","Milwaukee","WI","Passenger","2","0","2","39","41","4.88"
"June 30, 2023","Lewis","WA","Truck","7","0","7","25,962","25,969","0.03"
"December 31, 2017","Spokane","WA","Truck","1","0","1","91,545","91,546","0.00"
"February 28, 2017","Santa Fe","NM","Passenger","0","1","1","47","48","2.08"
"February 28, 2025","Niagara","NY","Passenger","0","1","1","1","2","50.00"
"June 30, 2018","Santa Rosa","FL","Passenger","1","0","1","97","98","1.02"
"October 31, 2024","San Bernardino","CA","Passenger","6","2","8","331","339","2.36"
"December 31, 2024","Harris","TX","Passenger","4","2","6","143","149","4.03"
"April 30, 2020","Skagit","WA","Passenger","399","215","614","91,380","91,994","0.67"
"August 31, 2022","Portsmouth","VA","Passenger","0","1","1","79","80","1.25"
"April 30, 2021","Pierce","WA","Truck","0","0","0","145,684","145,684","0.00"
"May 31, 2017","Okanogan","WA","Passenger","3","16","19","25,682","25,701","0.07"
"June 30, 2025","Saginaw","MI","Passenger","0","1","1","1","2","50.00"
"September 30, 2020","Skagit","WA","Passenger","449","228","677","91,375","92,052","0.74"
"September 30, 2024","Manatee","FL","Passenger","1","0","1","27","28","3.57"
"June 30, 2024","Williamson","TN","Passenger","0","1","1","11","12","8.33"
"August 31, 2022","Contra Costa","CA","Passenger","1","3","4","230","234","1.71"
"October 31, 2020","Placer","CA","Passenger","2","0","2","99","101","1.98"
"July 31, 2019","Douglas","CO","Passenger","1","0","1","90","91","1.10"
"December 31, 2024","Skamania","WA","Truck","8","0","8","3,837","3,845","0.21"
"March 31, 2023","Suffolk","MA","Passenger","4","1","5","35","40","12.50"
"June 30, 2022","Monmouth","NJ","Passenger","1","0","1","24","25","4.00"
"October 31, 2020","Hillsborough","FL","Passenger","0","1","1","188","189","0.53"
"January 31, 2025","Asotin","WA","Truck","4","0","4","6,582","6,586","0.06"
"October 31, 2019","Columbia","WA","Passenger","3","2","5","2,435","2,440","0.20"
"June 30, 2023","Newport","RI","Passenger","0","2","2","69","71","2.82"
"May 31, 2018","Clackamas","OR","Passenger","0","1","1","243","244","0.41"
"January 31, 2020","Grant","WA","Truck","0","0","0","27,019","27,019","0.00"
"July 31, 2024","Chesapeake","VA","Passenger","1","0","1","291","292","0.34"
"May 31, 2021","Whatcom","WA","Truck","4","0","4","43,818","43,822","0.01"
"March 31, 2024","Kent","MI","Passenger","1","0","1","22","23","4.35"
"July 31, 2025","Harford","MD","Truck","1","0","1","5","6","16.67"
"August 31, 2023","Suffolk","MA","Passenger","4","1","5","40","45","11.11"
"May 31, 2024","Weld","CO","Passenger","1","0","1","17","18","5.56"
"January 31, 2025","Muscogee","GA","Passenger","1","2","3","108","111","2.70"
"June 30, 2023","Kittitas","WA","Passenger","355","106","461","29,289","29,750","1.55"
"July 31, 2025","Jefferson","KY","Passenger","0","1","1","32","33","3.03"
"August 31, 2020","Whatcom","WA","Passenger","1,110","511","1,621","149,022","150,643","1.08"
"May 31, 2023","Prince William","VA","Passenger","1","4","5","184","189","2.65"
"August 31, 2021","Allegheny","PA","Passenger","2","1","3","76","79","3.80"
"February 28, 2017","Polk","FL","Passenger","1","0","1","67","68","1.47"
"June 30, 2018","Pend Oreille","WA","Truck","0","0","0","5,684","5,684","0.00"
"May 31, 2025","Santa Clara","CA","Passenger","16","4","20","182","202","9.90"
"January 31, 2025","Mason","WA","Passenger","784","302","1,086","46,046","47,132","2.30"
"February 28, 2022","Plaquemines","LA","Passenger","0","1","1","19","20","5.00"
"May 31, 2021","Kootenai","ID","Passenger","0","2","2","239","241","0.83"
"October 31, 2022","Ferry","WA","Passenger","24","4","28","4,364","4,392","0.64"
"January 31, 2025","Thurston","WA","Passenger","5,373","1,835","7,208","189,537","196,745","3.66"
"November 30, 2018","Grays Harbor","WA","Passenger","61","68","129","47,352","47,481","0.27"
"February 29, 2020","Denver","CO","Passenger","1","0","1","144","145","0.69"
"October 31, 2021","Clinton","PA","Passenger","1","0","1","0","1","100.00"
"December 31, 2019","Asotin","WA","Truck","0","0","0","6,704","6,704","0.00"
"January 31, 2021","Missoula","MT","Passenger","1","0","1","74","75","1.33"
"July 31, 2022","Jefferson","WA","Truck","3","0","3","9,439","9,442","0.03"
"April 30, 2023","Charles","MD","Passenger","1","1","2","67","69","2.90"
"December 31, 2019","Benton","WA","Passenger","314","310","624","135,141","135,765","0.46"
"October 31, 2022","Clallam","WA","Passenger","456","257","713","49,326","50,039","1.42"
"February 28, 2023","Kern","CA","Passenger","2","1","3","224","227","1.32"
"March 31, 2024","Ada","ID","Passenger","3","0","3","165","168","1.79"
"September 30, 2021","Thurston","WA","Passenger","1,746","908","2,654","196,719","199,373","1.33"
"August 31, 2021","Plaquemines","LA","Passenger","0","1","1","17","18","5.56"
"January 31, 2017","Saratoga","NY","Passenger","1","1","2","79","81","2.47"
"June 30, 2023","Los Angeles","CA","Passenger","10","5","15","841","856","1.75"
"April 30, 2017","Cobb","GA","Passenger","0","1","1","83","84","1.19"
"June 30, 2018","Prince George","VA","Passenger","0","1","1","69","70","1.43"
"September 30, 2020","Montgomery","PA","Passenger","1","0","1","29","30","3.33"
"January 31, 2018","Grays Harbor","WA","Truck","0","0","0","20,080","20,080","0.00"
"July 31, 2018","Stevens","WA","Passenger","11","25","36","31,628","31,664","0.11"
"June 30, 2024","Texas","MO","Passenger","1","0","1","2","3","33.33"
"January 31, 2022","Adams","WA","Truck","0","0","0","5,432","5,432","0.00"
"March 31, 2022","Tarrant","TX","Passenger","4","0","4","182","186","2.15"
"January 31, 2020","San Mateo","CA","Passenger","1","1","2","133","135","1.48"
"January 31, 2017","Wayne","MI","Passenger","0","2","2","79","81","2.47"
"February 28, 2021","Columbia","WA","Passenger","5","4","9","2,451","2,460","0.37"
"April 30, 2018","Richland","SC","Passenger","0","1","1","175","176","0.57"
"April 30, 2025","Anne Arundel","MD","Passenger","8","3","11","263","274","4.01"
"August 31, 2022","Multnomah","OR","Passenger","3","3","6","658","664","0.90"
"December 31, 2019","Dakota","MN","Passenger","0","1","1","36","37","2.70"
"December 31, 2017","Santa Rosa","FL","Passenger","1","0","1","104","105","0.95"
"June 30, 2024","Clatsop","OR","Passenger","1","0","1","42","43","2.33"
"March 31, 2025","Hall","GA","Passenger","1","0","1","8","9","11.11"
"July 31, 2023","Rockdale","GA","Passenger","1","0","1","8","9","11.11"
"April 30, 2025","Solano","CA","Passenger","2","0","2","150","152","1.32"
"June 30, 2018","Frederick","MD","Passenger","0","1","1","86","87","1.15"
"June 30, 2020","Orange","CA","Passenger","9","2","11","553","564","1.95"
"September 30, 2021","Flathead","MT","Passenger","2","0","2","62","64","3.13"
"April 30, 2019","Wahkiakum","WA","Truck","0","0","0","1,731","1,731","0.00"
"February 28, 2017","Tarrant","TX","Passenger","0","2","2","313","315","0.63"
"September 30, 2018","Dale","AL","Passenger","0","1","1","55","56","1.79"
"December 31, 2024","Hardin","KY","Truck","1","0","1","21","22","4.55"
"September 30, 2025","York","VA","Passenger","3","0","3","65","68","4.41"
"December 31, 2022","King","WA","Truck","386","2","388","177,892","178,280","0.22"
"July 31, 2021","El Paso","TX","Passenger","2","0","2","401","403","0.50"
"April 30, 2021","Franklin","WA","Truck","0","0","0","20,672","20,672","0.00"
"February 28, 2021","Harford","MD","Passenger","0","1","1","65","66","1.52"
"January 31, 2023","Danville","VA","Passenger","1","0","1","0","1","100.00"
"July 31, 2023","Plaquemines","LA","Passenger","1","1","2","18","20","10.00"
"December 31, 2017","Cowlitz","WA","Passenger","54","67","121","70,726","70,847","0.17"
"March 31, 2024","Norfolk","VA","Passenger","1","1","2","272","274","0.73"
"April 30, 2019","Okanogan","WA","Passenger","20","22","42","26,007","26,049","0.16"
"November 30, 2024","Kings","CA","Passenger","3","0","3","256","259","1.16"
"March 31, 2017","Norfolk","MA","Passenger","1","0","1","39","40","2.50"
"July 31, 2020","Juneau","AK","Passenger","0","1","1","35","36","2.78"
"January 31, 2021","Boulder","CO","Passenger","1","1","2","51","53","3.77"
"February 28, 2019","Kitsap","WA","Truck","1","0","1","53,671","53,672","0.00"
"June 30, 2024","Hawaii","HI","Passenger","1","0","1","34","35","2.86"
"March 31, 2024","Leavenworth","KS","Passenger","2","2","4","78","82","4.88"
"November 30, 2020","Kings","NY","Passenger","1","0","1","76","77","1.30"
"May 31, 2025","Hardin","KY","Truck","1","0","1","19","20","5.00"
"May 31, 2021","Larimer","CO","Passenger","1","0","1","56","57","1.75"
"August 31, 2025","Nye","NV","Passenger","1","0","1","12","13","7.69"
"January 31, 2025","Manassas","VA","Passenger","1","0","1","5","6","16.67"
"January 31, 2017","Honolulu","HI","Passenger","4","2","6","688","694","0.86"
"July 31, 2025","Anchorage","AK","Passenger","1","1","2","77","79","2.53"
"November 30, 2024","Columbia","WA","Passenger","11","0","11","2,392","2,403","0.46"
"December 31, 2019","New York","NY","Passenger","2","0","2","74","76","2.63"
"June 30, 2021","DuPage","IL","Passenger","3","1","4","58","62","6.45"
"September 30, 2022","Ulster","NY","Passenger","1","0","1","14","15","6.67"
"August 31, 2024","Franklin","WA","Truck","17","0","17","20,903","20,920","0.08"
"October 31, 2024","Kitsap","WA","Truck","201","0","201","51,485","51,686","0.39"
"March 31, 2018","Gwinnett","GA","Passenger","0","1","1","83","84","1.19"
"September 30, 2019","Greene","MO","Passenger","0","1","1","36","37","2.70"
"July 31, 2019","Santa Cruz","CA","Passenger","1","0","1","41","42","2.38"
"January 31, 2022","Danville","VA","Passenger","1","0","1","0","1","100.00"
"October 31, 2020","Mason","WA","Passenger","165","132","297","47,440","47,737","0.62"
"April 30, 2019","Cook","IL","Passenger","1","0","1","262","263","0.38"
"August 31, 2021","Orange","NC","Passenger","1","0","1","13","14","7.14"
"February 29, 2020","Garfield","WA","Truck","0","0","0","964","964","0.00"
"May 31, 2022","Williams","ND","Passenger","0","1","1","7","8","12.50"
"May 31, 2020","Grays Harbor","WA","Truck","0","0","0","20,753","20,753","0.00"
"September 30, 2018","Kent","MI","Passenger","0","1","1","30","31","3.23"
"May 31, 2023","Gwinnett","GA","Passenger","2","0","2","64","66","3.03"
"August 31, 2018","Pierce","WA","Truck","0","0","0","138,178","138,178","0.00"
"June 30, 2019","Spartanburg","SC","Passenger","0","1","1","41","42","2.38"
"December 31, 2023","St. Mary's","MD","Passenger","3","1","4","217","221","1.81"
"May 31, 2017","Lee","AL","Passenger","1","0","1","36","37","2.70"
"May 31, 2020","Middlesex","MA","Passenger","1","0","1","107","108","0.93"
"January 31, 2018","Mason","WA","Passenger","65","74","139","44,949","45,088","0.31"
"February 28, 2021","Anne Arundel","MD","Passenger","3","1","4","395","399","1.00"
"December 31, 2024","Grays Harbor","WA","Passenger","531","266","797","47,653","48,450","1.64"
"October 31, 2018","Denver","CO","Passenger","1","0","1","141","142","0.70"
"November 30, 2023","Alameda","CA","Passenger","11","2","13","212","225","5.78"
"July 31, 2025","Miami-Dade","FL","Passenger","2","0","2","69","71","2.82"
"March 31, 2025","Spokane","WA","Passenger","4,482","1,959","6,441","319,420","325,861","1.98"
"June 30, 2019","Sarasota","FL","Passenger","1","0","1","38","39","2.56"
"January 31, 2017","Los Angeles","CA","Passenger","2","1","3","1,514","1,517","0.20"
"February 28, 2025","Chelan","WA","Passenger","1,062","296","1,358","53,991","55,349","2.45"
"April 30, 2024","El Dorado","CA","Passenger","2","0","2","24","26","7.69"
"April 30, 2025","Duval","FL","Truck","1","0","1","47","48","2.08"
"October 31, 2018","Okanogan","WA","Passenger","15","21","36","26,090","26,126","0.14"
"May 31, 2018","Columbia","WA","Passenger","2","1","3","2,412","2,415","0.12"
"January 31, 2020","Travis","TX","Passenger","4","2","6","220","226","2.65"
"May 31, 2021","Dallas","IA","Passenger","0","1","1","11","12","8.33"
"November 30, 2017","Pacific","WA","Passenger","15","11","26","15,322","15,348","0.17"
"May 31, 2022","Fredericksburg","VA","Passenger","1","0","1","6","7","14.29"
"April 30, 2017","Charles","MD","Passenger","0","1","1","92","93","1.08"
"November 30, 2021","Orange","CA","Passenger","8","2","10","481","491","2.04"
"April 30, 2022","Essex","NJ","Passenger","2","0","2","15","17","11.76"
"October 31, 2020","Montgomery","TX","Passenger","1","0","1","57","58","1.72"
"July 31, 2021","El Dorado","CA","Passenger","1","0","1","41","42","2.38"
"November 30, 2018","Los Angeles","CA","Passenger","6","6","12","1,174","1,186","1.01"
"January 31, 2025","Washtenaw","MI","Passenger","1","1","2","22","24","8.33"
"December 31, 2017","Flathead","MT","Passenger","1","0","1","65","66","1.52"
"May 31, 2023","Wichita","TX","Passenger","1","0","1","34","35","2.86"
"January 31, 2020","Walla Walla","WA","Passenger","65","61","126","36,312","36,438","0.35"
"February 28, 2018","Northampton","PA","Passenger","0","1","1","58","59","1.69"
"September 30, 2020","Santa Clara","CA","Passenger","10","2","12","327","339","3.54"
"March 31, 2017","Cowlitz","WA","Truck","0","0","0","27,899","27,899","0.00"
"August 31, 2021","Cameron","TX","Passenger","1","0","1","24","25","4.00"
"November 30, 2024","Pacific","WA","Passenger","135","124","259","15,508","15,767","1.64"
"December 31, 2019","Botetourt","VA","Passenger","1","0","1","0","1","100.00"
"July 31, 2022","Sauk","WI","Passenger","0","1","1","1","2","50.00"
"March 31, 2020","Kittitas","WA","Passenger","98","49","147","29,977","30,124","0.49"
"October 31, 2021","Moore","NC","Passenger","0","1","1","139","140","0.71"
"June 30, 2022","DuPage","IL","Passenger","6","1","7","62","69","10.14"
"December 31, 2019","Polk","FL","Passenger","1","0","1","81","82","1.22"
"February 28, 2023","Clallam","WA","Truck","11","0","11","21,806","21,817","0.05"
"May 31, 2021","Fairfax","VA","Passenger","5","3","8","738","746","1.07"
"December 31, 2019","Howard","MD","Passenger","0","1","1","84","85","1.18"
"April 30, 2024","York","VA","Passenger","1","0","1","76","77","1.30"
"June 30, 2018","Yakima","WA","Passenger","60","88","148","163,719","163,867","0.09"
"March 31, 2022","Chesapeake","VA","Passenger","2","1","3","408","411","0.73"
"April 30, 2017","Dale","AL","Passenger","0","1","1","62","63","1.59"
"July 31, 2023","St. Mary's","MD","Passenger","2","0","2","216","218","0.92"
"October 31, 2022","Skagit","WA","Truck","8","0","8","32,152","32,160","0.02"
"September 30, 2021","St. Mary's","MD","Passenger","1","0","1","228","229","0.44"
"October 31, 2020","Dallas","TX","Passenger","1","0","1","201","202","0.50"
"May 31, 2025","Harford","MD","Passenger","4","0","4","44","48","8.33"
"May 31, 2022","St. Louis","MO","Passenger","2","0","2","83","85","2.35"
"September 30, 2018","DuPage","IL","Passenger","1","0","1","60","61","1.64"
"October 31, 2020","Hamilton","IN","Passenger","2","0","2","42","44","4.55"
"December 31, 2021","Skamania","WA","Passenger","60","42","102","8,300","8,402","1.21"
"April 30, 2023","Marion","OR","Passenger","1","0","1","103","104","0.96"
"December 31, 2024","Contra Costa","CA","Passenger","7","1","8","141","149","5.37"
"April 30, 2020","Washington","OR","Passenger","1","0","1","498","499","0.20"
"October 31, 2023","Jefferson","WA","Passenger","617","268","885","24,111","24,996","3.54"
"December 31, 2024","Centre","PA","Passenger","1","0","1","9","10","10.00"
"December 31, 2024","Cumberland","PA","Passenger","1","0","1","38","39","2.56"
"November 30, 2022","Norfolk","VA","Passenger","3","3","6","300","306","1.96"
"July 31, 2025","Ferry","WA","Passenger","31","11","42","4,159","4,201","1.00"
"April 30, 2021","Kitsap","WA","Passenger","1,732","812","2,544","180,062","182,606","1.39"
"December 31, 2023","Island","WA","Passenger","1,292","475","1,767","60,372","62,139","2.84"
"March 31, 2024","Mecklenburg","NC","Passenger","2","0","2","60","62","3.23"
"January 31, 2025","St. Landry","LA","Passenger","1","0","1","1","2","50.00"
"April 30, 2023","Charleston","SC","Passenger","1","2","3","72","75","4.00"
"June 30, 2018","San Juan","WA","Truck","0","0","0","5,707","5,707","0.00"
"September 30, 2023","Newport","RI","Truck","1","0","1","6","7","14.29"
"January 31, 2019","Bexar","TX","Passenger","2","4","6","726","732","0.82"
"May 31, 2023","Clark","NV","Passenger","13","4","17","614","631","2.69"
"May 31, 2020","San Diego","CA","Passenger","15","5","20","2,753","2,773","0.72"
"January 31, 2025","Clallam","WA","Truck","44","0","44","21,359","21,403","0.21"
"April 30, 2025","Salt Lake","UT","Passenger","0","2","2","105","107","1.87"
"October 31, 2019","Honolulu","HI","Passenger","4","2","6","535","541","1.11"
"May 31, 2025","Skamania","WA","Truck","11","0","11","3,824","3,835","0.29"
"December 31, 2020","Ferry","WA","Passenger","9","3","12","4,358","4,370","0.27"
"December 31, 2024","Washoe","NV","Passenger","4","0","4","63","67","5.97"
"April 30, 2023","Yavapai","AZ","Passenger","0","1","1","32","33","3.03"
